2018-04-09 12:28:58 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:58 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:28:59 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:28:59 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:00 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:00 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:01 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:01 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:02 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:02 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:03 remote_connection.py[line:480] DEBUG   : POST http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/element {"using": "id", "value": "staff_id1", "sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:03 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:04 remote_connection.py[line:480] DEBUG   : GET http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45/screenshot {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:04 remote_connection.py[line:567] DEBUG   : Finished Request
2018-04-09 12:29:04 testlogin.py[line:36] INFO    : -----用例测试结束--------
2018-04-09 12:29:04 remote_connection.py[line:480] DEBUG   : DELETE http://127.0.0.1:56154/session/86ddc16f718a787f98d7db3d77c8fa45 {"sessionId": "86ddc16f718a787f98d7db3d77c8fa45"}
2018-04-09 12:29:04 remote_connection.py[line:567] DEBUG   : Finished Request
